# === Top 10 强势行业 (588 行业指数 vs 大盘) ===
industry_code,industry_name,ret,alpha_vs_idx
881289.SH,航天装备,0.7990520118179689,0.7756275662274583
881115.SH,林业,0.23253007522327507,0.20910562963276447
881291.SH,军工电子,0.22625698324022347,0.20283253764971287
881198.SH,家电零部件,0.2030089655628582,0.1795845199723476
881019.SH,化纤,0.16938954415046226,0.14596509855995166
881094.SH,玻璃玻纤,0.1505384236298246,0.127113978039314
881338.SH,通信设备,0.14172776844706525,0.11830332285655465
881261.SH,电机制造,0.14041589932473908,0.11699145373422848
881071.SH,工业金属,0.13301174203065513,0.10958729644014453
881078.SH,能源金属,0.11692979983084295,0.09350535424033235

# === Top 10 行业 全部成分股 (α vs 大盘) ===
industry_code,industry_name,industry_ret,stock,stock_ret,alpha_vs_idx,alpha_vs_industry
881338.SH,通信设备,0.14172776844706525,300414.SZ,0.26266891891891886,0.23924447332840826,0.12094115047185361
881078.SH,能源金属,0.11692979983084295,002738.SZ,0.2608346709470306,0.23741022535652,0.14390487111618766
881291.SH,军工电子,0.22625698324022347,600990.SH,0.25894988066825775,0.23552543507774715,0.03269289742803427
881291.SH,军工电子,0.22625698324022347,688081.SH,0.25801952580195264,0.23459508021144204,0.03176254256172917
881338.SH,通信设备,0.14172776844706525,600487.SH,0.25532994923857877,0.23190550364806817,0.11360218079151352
881291.SH,军工电子,0.22625698324022347,300726.SZ,0.24871228844738758,0.22528784285687697,0.0224553052071641
881291.SH,军工电子,0.22625698324022347,688282.SH,0.2429046780191817,0.2194802324286711,0.016647694778958222
881071.SH,工业金属,0.13301174203065513,000688.SZ,0.2427358068842198,0.2193113612937092,0.10972406485356467
881071.SH,工业金属,0.13301174203065513,000807.SZ,0.24205748865355536,0.21863304306304476,0.10904574662290023
881291.SH,军工电子,0.22625698324022347,688636.SH,0.24066029539530853,0.21723584980479793,0.014403312155085057
881338.SH,通信设备,0.14172776844706525,688292.SH,0.23878684322938915,0.21536239763887854,0.0970590747823239
881338.SH,通信设备,0.14172776844706525,603083.SH,0.2376128200405232,0.2141883744500126,0.09588505159345795
881291.SH,军工电子,0.22625698324022347,600855.SH,0.23691945914168122,0.21349501355117062,0.010662475901457746
881338.SH,通信设备,0.14172776844706525,600776.SH,0.23318385650224216,0.20975941091173156,0.09145608805517691
881261.SH,电机制造,0.14041589932473908,301226.SZ,0.23074141048824615,0.20731696489773555,0.09032551116350707
881291.SH,军工电子,0.22625698324022347,002935.SZ,0.22667398463227229,0.20324953904176168,0.00041700139204881026
881094.SH,玻璃玻纤,0.1505384236298246,301526.SZ,0.22591943957968486,0.20249499398917425,0.07538101594986024
881338.SH,通信设备,0.14172776844706525,688182.SH,0.22540473225404734,0.20198028666353673,0.08367696380698209
881291.SH,军工电子,0.22625698324022347,688511.SH,0.22241158926288884,0.19898714367237824,-0.0038453939773346324
881291.SH,军工电子,0.22625698324022347,002414.SZ,0.21641791044776104,0.19299346485725044,-0.009839072792462433
881338.SH,通信设备,0.14172776844706525,301165.SZ,0.2134462968024049,0.1900218512118943,0.07171852835533965
881019.SH,化纤,0.16938954415046226,301057.SZ,0.21289456010745456,0.18947011451694395,0.0435050159569923
881261.SH,电机制造,0.14041589932473908,003021.SZ,0.21174863387978138,0.18832418828927078,0.0713327345550423
881338.SH,通信设备,0.14172776844706525,300710.SZ,0.21064904780411964,0.18722460221360904,0.06892127935705439
881078.SH,能源金属,0.11692979983084295,600711.SH,0.2089314194577354,0.1855069738672248,0.09200161962689246
881261.SH,电机制造,0.14041589932473908,600580.SH,0.20757501229709807,0.18415056670658747,0.06715911297235899
881019.SH,化纤,0.16938954415046226,920077.BJ,0.20623671155209067,0.18281226596158007,0.03684716740162841
881291.SH,军工电子,0.22625698324022347,002446.SZ,0.20160366552119124,0.17817921993068064,-0.02465331771903223
881338.SH,通信设备,0.14172776844706525,002897.SZ,0.20102176810306527,0.17759732251255467,0.05929399965600002
881338.SH,通信设备,0.14172776844706525,002104.SZ,0.2005555555555556,0.177131109965045,0.05882778710849035
881071.SH,工业金属,0.13301174203065513,002532.SZ,0.19940696812453673,0.17598252253402613,0.0663952260938816
881291.SH,军工电子,0.22625698324022347,002025.SZ,0.1987087517934003,0.1752843062028897,-0.027548231446823168
881019.SH,化纤,0.16938954415046226,002493.SZ,0.19734151329243366,0.17391706770192306,0.0279519691419714
