stock,ma5,ma10,ma20,rsi14,atr14,bband_pctb,macd,stoch_k,obv,mfi14,adx14,amount,vwap
600585.SH,-0.3392319833253236,-0.2980101271933131,-0.291770140985309,-0.12597827281312426,-0.1509991763989299,-0.10114005027448865,-0.1762521676608363,-0.023567315835197455,-0.30257101653142787,-0.11461466311036654,-0.0928537118885284,-0.22838123962701076,-0.38315463255095433
600673.SH,-0.04708321774341641,-0.06661111023616857,-0.09647408783242316,0.19470944201200707,-0.15239491218477105,0.15846307715587435,0.10346589258417128,0.08648568504619156,-0.020396287611065635,0.24616893925918545,-0.21177831257940682,-0.058756084860027716,-0.05587009572061853
600754.SH,-0.2634246948582708,-0.221261940113927,-0.2184895052572361,-0.1113463224376502,-0.1837336625124846,-0.04439858007147747,-0.13281088915499115,-0.014917310902888732,-0.14715583021993592,-0.06655100658136077,-0.14943804267281996,-0.14110298797244125,-0.2833060474732425
600760.SH,-0.18079108764261284,-0.17006753698473523,-0.15776582834727215,-0.05204062628429142,-0.12095367711597406,-0.08977990110511941,-0.047786826397125705,-0.054804841490120985,-0.10899395271782863,-0.04192108359628421,0.0015178892404923657,-0.20507622940704792,-0.1952197175936335
600803.SH,-0.13222555835573846,-0.09515452608299554,-0.11214150871352253,-0.15533297955694675,-0.19984739061034884,-0.20850423460657563,-0.12239936187458311,-0.18220215644758944,-0.031469668087695135,-0.09131670875700527,-0.16030766075248024,-0.026614630161536285,-0.2891322174789978
600809.SH,-0.2967346035588799,-0.29824848274334104,-0.3760400609936163,0.026649201017715146,-0.1501863635935751,0.08310220045998315,0.017395693605095117,0.019462901768333908,-0.13259145429425584,0.10854504120894128,-0.03328844626243104,-0.06486902973421345,-0.2921593966011868
600895.SH,-0.13730851431388388,-0.13016990078733487,-0.10414947998837214,0.025737113568833198,-0.11584347203516726,0.06019758226605048,-0.12851349018232763,0.04611317161131309,-0.023171531525055737,-0.018528640580792285,-0.05955117722859108,-0.02656691975435223,-0.12471485396771104
600900.SH,-0.23640841815116823,-0.25685701434392566,-0.27996439349248725,0.05279129465359646,-0.032512432013191525,0.12414229068653085,0.026226259028439152,0.06671971624892657,-0.21350832816836848,0.1184999102970196,0.00243152363522239,-0.01122991472446839,-0.14485800390696785
600901.SH,-0.13822564510315355,-0.1570036873427308,-0.18367888652318753,0.10210008177665947,-0.02937418207867018,0.13450317340233967,0.08770548150002695,0.0951629405670083,-0.10641653902892516,0.21099960300089726,0.0907444187620871,-0.06735275465054749,-0.11918685299545073
600916.SH,-0.43637789196630894,-0.39705156312036777,-0.2344908195288718,-0.33946918283464883,-0.1667805185651904,-0.27706679444312865,-0.38130606861257693,-0.18158763769936923,-0.17749240099597566,-0.20868528463174085,-0.12127648780604801,-0.31341791765430094,-0.3746044787164864
600968.SH,-0.3083506183166227,-0.22964259762898695,-0.20354699013784253,-0.3232139420536143,-0.09368003529633677,-0.3334312463892689,-0.18438898578270893,-0.24364162168705483,-0.18501560901681066,-0.19015817756005865,-0.0075736381078314605,-0.25133761719502284,-0.4098404227760675
600989.SH,-0.21247633049234177,-0.16165333066264337,-0.09863513273892548,-0.2848084861977492,-0.11464837257645705,-0.2141995177710845,-0.34744282296767204,-0.16894905747925437,-0.13019871855903836,-0.22121223157211672,-0.018194043131291835,-0.061783681610899574,-0.25652980996593716
601061.SH,-0.011642662465579628,-0.015879074932122872,-0.019338417743834452,0.05752258339269168,-0.01095994853394711,-0.054183012651928764,-0.027365086378038986,0.0287655119816299,0.0970896356350232,0.08777201523617174,0.061814776496502785,0.06358806287174584,0.002044478680780837
601127.SH,-0.2569749809885267,-0.2484491634816468,-0.2576142691245368,-0.08055168574487173,-0.18491027729942205,-0.09348407158283048,-0.05930004552047902,-0.03308919384677783,-0.2364416494280041,-0.12878453162993828,-0.10357760933291332,-0.07094827238118147,-0.2802783850790303
601155.SH,-0.28243418455421737,-0.2760353806397331,-0.21980155135693483,-0.22673765836007304,-0.24930574961120494,-0.13862628780004954,-0.2439075691678793,-0.13016604968267334,-0.23861031659118012,-0.14748864110236246,-0.05978336332644744,-0.14347877583354207,-0.3122220091607229
601225.SH,-0.22235990361079228,-0.21157410612199556,-0.23342580885216868,-0.04436950887146958,-0.32045471225542,-0.06192497188117438,0.005772555561987242,-0.10110316740951666,-0.1459783787075104,-0.0004750248667215134,-0.2757600916454364,0.04523189393828071,-0.3462574126366076
601288.SH,-0.10593926634654308,-0.1121799851916865,-0.10009260721178387,-0.009331740251700658,-0.06217913473342706,0.05320846333816304,-0.19194317775363076,0.11435622813773692,-0.02047904035007829,0.009842944964068071,-0.01788917628453172,0.10671493875569615,-0.102893391059378
601336.SH,-0.11821388137963929,-0.11069072836850279,-0.09882993995018467,-0.1454783829395652,-0.28598398121063223,-0.102729273340176,-0.18237528035452594,-0.1399242352380581,-0.08029396733698627,-0.28448077499368735,-0.21372389761823105,-0.2444304630310565,-0.13875103426515684
601360.SH,-0.3794283225188527,-0.3766845000834026,-0.3347512908831,-0.1798727466575586,-0.1918353921825354,-0.0685200432179736,-0.3205112973248464,0.026702248809746542,-0.2598104767748358,-0.1380104060495634,-0.06600150993135322,-0.17556111668982916,-0.3610516320586835
601668.SH,-0.229538250881079,-0.22217318346277323,-0.2409783577881714,-0.016136808676582955,-0.05820793218054046,-0.024618463608803928,0.013768682008426462,0.010402465431435703,-0.2115496631093144,0.03680505564661579,0.007053131948678073,-0.11383139504115297,-0.1054308271450745
601689.SH,-0.22850534713169823,-0.26498140961876815,-0.2892781361021288,0.10608952459095354,-0.2313340624848759,0.1316729562372592,-0.0030434855344821893,0.1409663428156436,-0.04126570707675975,0.019359063676751522,-0.18273129135215765,-0.030005047519084293,-0.21191366780368237
601728.SH,-0.20583028695254105,-0.2366420186365221,-0.18283291294816403,-0.00723697366935046,0.06842378402126907,0.0043240315534075575,-0.12205587805066732,-0.0179828968633724,-0.09692133992542265,0.019572349988998473,0.11746199310253244,0.0047979325221263166,-0.09600894660957654
601899.SH,-0.003029269927394842,0.019492644039630153,0.02897337764358525,-0.18091183358341792,-0.04518460668007311,-0.2057622488793601,-0.11098121298679121,-0.19357946022646977,0.010069690043509065,-0.20233417351297156,-0.039222591515159506,0.017182823408097674,-0.010049350816048066
603099.SH,-0.15226177827362594,-0.14326027875256275,-0.14836855452121997,0.017170148910876978,-0.28911919350559717,0.05307156758590065,-0.02898511134421001,0.011232379489615356,-0.05945814182512568,0.0324578280589456,-0.2856637089078587,-0.26213645572387867,-0.15796118378641957
603195.SH,0.02267199258517089,0.022218768207186462,0.006523365490772394,-0.08779638760897844,0.19743005482463635,-0.047641428967911355,-0.12360035186059391,0.028751886686086556,-0.059582069197885903,0.11950239993531774,0.23204358572782685,-0.07029590015923409,0.1957759096881444
603259.SH,-0.20064264509545165,-0.19754479455228408,-0.19353964678077462,-0.0004589045414844933,-0.2204454282273647,-0.03390951893177216,-0.01341511332286171,-0.02864953909706357,-0.188251942705021,-0.040736233117809384,-0.15296706939630772,-0.20507455846429057,-0.21686963514431262
603268.SH,0.0840681349574429,0.10165184417415127,0.11123413947801174,-0.06027570812560898,0.010209669890799557,-0.05852711313931755,-0.01925026510302122,-0.01909071817233432,0.07758546100025228,-0.008114705938143087,-0.04840649172233122,-0.011423163423772408,0.06397538328037687
603298.SH,-0.15966685745433198,-0.1578994054703438,-0.14361996466281984,-0.10806043569128991,-0.13121717696111945,-0.004237858242275071,-0.12767213902111965,-0.030428406083040854,-0.04123541446745313,0.03894001687819271,0.008571384559503582,-0.05297869087148348,-0.1873533436900192
603568.SH,-0.10106554675415229,-0.08735630180812035,0.0002934107796021885,-0.18104621440619084,-0.10077078262220779,-0.136801457190845,-0.23710041717843647,-0.09365547098439346,0.07723822651674034,-0.25434285899810755,-0.08562997640252738,-0.020959000631304982,-0.12139713937788373
603605.SH,-0.18961099050743416,-0.21772742735023334,-0.17987975728310276,-0.1658614805742278,-0.07550005364244233,-0.060324928268670336,-0.24039918346492875,-0.007527232208367941,-0.07101729493870486,-0.05856535444478778,-0.018926608216751586,-0.1094018238443305,-0.1514077210515634
603699.SH,-0.10550583722516901,-0.10250817189048532,-0.08046954597025553,-0.15129401884251373,-0.0677063201951924,-0.049471001690847546,-0.19075967584516496,-0.07604326084430038,-0.04942488772687022,-0.11829500806385344,0.1252545028249506,-0.08810630091866917,-0.11174761373048808
603733.SH,-0.27890859006560126,-0.23738324982089953,-0.23961277591715346,-0.09182266501546574,-0.22732265851758393,-0.031971517386597696,-0.11219064748695956,-0.09138175533067525,-0.17147748296143592,-0.05008895376197683,-0.10952541867805597,-0.03455729475592336,-0.3110608030621135
603776.SH,-0.3265497892637163,-0.3043180328398518,-0.24822365546332847,-0.11568760672375274,-0.2694872154826142,-0.05411531623747894,-0.21792471202245717,-0.021793011532545477,0.17366442127001536,0.06465540725904242,-0.033498493999893415,-0.2291473062259621,-0.3573714448090358
603816.SH,-0.11155822058892605,-0.10273188098477404,-0.1103975897328733,-0.012025944233699716,-0.22371326482374176,-0.09037650973792179,-0.01355078973527122,-0.06438821475566775,-0.017431595971967966,0.0006148189648113824,-0.15546950013145902,-0.13965919157450132,-0.20583383864059626
603899.SH,-0.3595130760243422,-0.3467652968247969,-0.2759544478051493,-0.14065995075381177,-0.1372375621991317,-0.03376459588970914,-0.2715334792197707,-0.019515686244299182,-0.3533764634840756,-0.007480823772397226,-0.06309081090706364,-0.2048910562758569,-0.3604511995553077
603993.SH,0.028348595877479857,0.054398229345476716,0.06407684647836144,-0.09005602359915962,0.0024006142091687987,-0.1448001828507946,-0.07063963020956478,-0.09119479422084764,0.0894205616521063,-0.275758374078856,0.009739876510979377,-0.07522320171073472,0.017308667487403118
605117.SH,-0.04894466317667847,-0.029646099834729628,-0.020860612727318095,-0.026794736631148633,-0.005795471303840462,-0.14584267807437523,-0.017727726666836148,-0.10441712716655921,0.03596592680813816,-0.11526661515677324,0.0444854042227127,0.08612593726215405,-0.2793554859514043
605499.SH,-0.19737784404005979,-0.19936159893415933,-0.22431945440945766,-0.04194756344132134,-0.1137914994323341,0.0003039248462502932,-0.009036700064435852,-0.012881993872754313,-0.19677378443253155,-0.05396277649285872,0.07470465521263603,0.09792685128537797,-0.220306233847168
688041.SH,-0.1291087629073891,-0.11249921092160561,-0.11600626977951731,-0.03081394752562653,-0.07435899168535387,-0.022716700073262614,-0.022032403444990845,-0.031893796584554365,-0.17794125275205774,-0.07357982502589346,0.00428125830863942,0.03345491483416216,-0.13693938489235835
688111.SH,-0.4007172344981831,-0.38718541680144736,-0.35668529256112547,-0.14611366536867088,-0.17140415553871874,-0.10253181742174644,-0.21775091549611614,-0.10192729240565426,-0.1862183798971271,-0.11368176802826724,-0.011699714946139896,-0.1300818347165245,-0.3705789883936119
688187.SH,-0.1859719264262849,-0.17423198317833163,-0.1750066813465591,-0.010604440550358326,-0.1966959562452041,0.012754783639762093,-0.07018619292809956,0.012220052618077886,-0.21467559670274394,0.04827634338809203,-0.15121380274842958,-0.006618886686815236,-0.23632476659123478
688256.SH,-0.11207565204590823,-0.11102730316556232,-0.122851222244343,0.12146703708224414,-0.09811059322308067,0.05409306628774372,-0.008126781351470257,0.08246138818003407,-0.05353624511872418,0.09340163297810461,-0.00852902390261298,-0.03635811532412708,-0.11325839600058017
688300.SH,-0.13265257102043967,-0.08466630242566757,-0.047394283707463035,-0.17819419317196206,-0.12511821461346878,-0.2067282721430263,-0.152720197340172,-0.1992642295880397,0.001144057224342069,-0.15131209416002808,-0.02446752724725683,-0.30013492518529433,-0.41849738504323303
688617.SH,-0.2618674889907505,-0.21167773650388563,-0.23442621082491286,-0.20287783294602404,-0.14121120652821997,-0.21621199443696623,-0.08838852422271859,-0.22048027019625954,0.06867948936954935,-0.009775886809669577,0.06423890297657625,0.04303279727113186,-0.03254188786132464
